"GSM2552104"	"GSM2552105"	"GSM2552106"	"GSM2552107"	"GSM2552108"	"GSM2552109"	"GSM2552110"	"GSM2552111"	"GSM2552112"	"GSM2552113"	"GSM2552114"	"GSM2552115"	"GSM2552116"	"GSM2552117"	"GSM2552118"	"GSM2552119"	"GSM2552120"	"GSM2552121"	"GSM2552122"	"GSM2552123"	"GSM2552124"	"GSM2552125"	"GSM2552126"	"GSM2552127"	"GSM2552128"	"GSM2552129"	"GSM2552130"	"GSM2552131"	"GSM2552132"	"GSM2552133"	"GSM2552134"	"GSM2552135"	"GSM2552136"	"GSM2552137"	"GSM2552138"	"GSM2552139"	"GSM2552140"	"GSM2552141"	"GSM2552142"
"hsa_let_7a_5p"	12.03774	11.69803	12.04181	12.3333	12.35644	12.16543	12.92095	12.53943	12.40732	12.17126	11.1805	11.21363	10.69901	11.39324	11.8508	11.21152	11.88263	11.9067	12.67065	12.67683	12.49997	12.07076	11.74361	13.40924	12.08325	11.71914	12.29385	12.46167	12.04861	11.91329	13.23744	12.3259	12.38911	11.75493	12.20647	11.82838	11.55474	11.706	12.21907
"hsa_let_7a_3p"	0.7684408	1.145832	1.075841	1.163183	0.5193683	0.9937949	0.8406853	0.6663022	0.7361661	1.01267	1.137126	0.7465497	0.9937949	0.9463169	1.014191	0.7866002	0.4623268	1.35436	0.8794556	1.116069	0.7518948	1.316578	0.7606133	0.4351416	0.916527	0.5265214	0.7506305	0.8997296	0.9351877	0.9294848	0.7799389	0.7783612	1.167778	0.6091647	1.154323	0.9669491	0.8001163	0.7561469	0.8090264
"hsa_let_7a_2_3p"	1.03451	1.270039	0.5450981	0.8544402	0.6435757	1.13852	0.9123921	1.247852	0.6368916	0.8208227	0.7907722	0.7946756	0.7612908	0.7508831	0.9047199	0.541032	0.5816808	1.030787	0.7309036	0.7563341	0.6817783	1.07836	0.6120613	0.7149685	0.8807333	0.9318149	1.086931	0.9272053	1.073753	0.7217133	0.9441085	0.8902286	0.8626654	0.811741	1.737404	0.9684638	0.6047302	0.8633807	0.8703761
"hsa_let_7b_5p"	13.5837	13.07961	13.27637	13.15277	13.19181	13.1005	13.40951	13.41653	12.95194	13.19027	12.89591	13.11064	11.42609	12.36848	13.08799	12.98426	13.18093	13.29412	13.46409	13.37075	13.15437	13.20923	13.12379	14.14742	10.49951	13.17465	13.01916	13.04727	12.90406	13.04974	13.95396	13.37964	13.20136	13.30337	13.57973	12.83779	12.9114	13.00635	12.50069
"hsa_let_7b_3p"	1.041562	2.071792	0.7863818	2.208729	1.507261	1.228989	1.328149	1.031327	1.485532	1.519556	1.056715	1.18814	2.172319	1.155599	1.536489	1.062154	1.911879	1.600282	1.605697	1.631415	1.526387	1.120967	1.305495	1.198301	0.6205178	1.661149	1.072416	1.23703	1.572842	0.8454954	2.105636	0.8578464	1.52924	1.205586	0.9419646	0.7082483	1.354214	0.699351	2.497186
"hsa_let_7c_5p"	11.39861	11.11084	11.79855	11.46466	11.13731	11.48701	11.89776	11.91357	11.49045	11.49731	11.15752	11.03061	8.890007	10.53435	11.02278	11.34424	11.31652	11.1922	11.92103	11.93988	11.73391	11.57277	11.64512	12.82956	9.063951	11.28148	11.17372	11.69879	11.22127	11.22473	12.51592	11.58959	11.864	11.05774	11.85518	10.89666	11.07594	11.259	10.88643
"hsa_let_7c_3p"	0.6577377	0.9648771	1.081007	1.186212	0.9790547	1.016936	0.9648771	1.173881	1.285482	0.6746929	1.310436	0.7011561	1.40023	1.167806	1.189465	0.7987927	1.498737	1.076553	1.015807	0.9102583	1.055676	1.02537	0.8890124	1.196634	0.9473958	0.9346297	1.083172	0.8495498	1.193035	0.8399599	0.8255387	1.061438	1.470881	0.7275108	0.7354094	1.016074	1.708757	1.004755	1.189465
"hsa_let_7d_5p"	12.44551	12.00067	12.07222	12.45338	12.38992	12.16081	12.32581	12.37201	12.76774	12.48749	11.46648	11.21236	11.34214	11.6688	12.34648	10.87684	11.43538	12.11034	12.82458	12.66034	12.42247	12.00931	11.70581	12.99072	12.62032	11.35171	12.37761	12.40346	12.20183	12.07455	12.97357	12.40687	12.41325	12.18553	12.33416	12.14989	12.09537	12.175	11.81345
"hsa_let_7d_3p"	3.652991	2.419196	3.461707	4.756664	3.201422	4.701689	1.488705	4.840377	3.58866	4.721402	3.603968	2.620486	2.380561	3.187081	1.482085	1.484407	2.800423	3.461448	3.582568	4.018633	4.196918	0.8732066	3.487192	1.476502	4.650499	2.114393	4.030733	3.840121	4.049767	2.037489	3.640665	3.880236	3.283776	2.288254	1.661136	2.435829	2.666244	3.998977	4.367168
"hsa_let_7e_5p"	8.147982	7.607692	10.92631	8.412579	6.948005	8.023823	7.821347	7.940942	6.81302	11.07992	9.74794	9.464867	9.374656	11.00581	8.713514	10.23931	9.141556	6.567856	7.796052	10.34986	8.928629	9.701025	7.103416	9.107205	9.145739	9.58098	8.686398	8.412849	10.17609	8.863007	8.311131	10.18082	8.616295	9.068209	9.788274	5.880404	9.303186	8.903093	8.243322
