Category	Term	Count	Percent	Fold	P-value	Bonferroni	FDR	miRNA
Function	Cell Motility	5	0.23809524	10.57738095	6.99e-5	0.0389	2.26e-3	hsa-mir-584,hsa-mir-222,hsa-mir-130b,hsa-mir-151a,hsa-mir-100
Function	Inflammation	9	0.08035714	3.56986607	5.95e-4	0.3307	0.0121	hsa-mir-584,hsa-mir-199b,hsa-mir-100,hsa-mir-155,hsa-mir-335,hsa-mir-222,hsa-mir-150,hsa-mir-130b,hsa-mir-27a
Function	Glucose Metabolism	2	0.07142857	3.17321429	0.1295	1	0.5597	hsa-let-7b,hsa-mir-625
Function	Aging	8	0.12698413	5.64126984	5.00e-5	0.0278	1.71e-3	hsa-let-7b,hsa-mir-92a-1,hsa-mir-30a,hsa-mir-222,hsa-mir-100,hsa-mir-151a,hsa-mir-155,hsa-mir-92a-2
Function	Apoptosis	8	0.0754717	3.35283019	1.91e-3	1	0.0308	hsa-mir-92a-1,hsa-mir-29b-1,hsa-mir-155,hsa-mir-30a,hsa-mir-222,hsa-mir-92a-2,hsa-mir-150,hsa-mir-27a
Function	Bone Regeneration	6	0.2	8.885	3.53e-5	0.0196	1.28e-3	hsa-let-7b,hsa-mir-92a-1,hsa-mir-130b,hsa-mir-222,hsa-mir-92a-2,hsa-mir-155
Function	Brain Development	3	0.08333333	3.70208333	0.0452	1	0.2929	hsa-mir-106a,hsa-mir-222,hsa-mir-155
Function	Cell Cycle	8	0.09638554	4.28192771	3.66e-4	0.2033	8.33e-3	hsa-let-7b,hsa-mir-92a-1,hsa-mir-29b-1,hsa-mir-222,hsa-mir-27a,hsa-mir-155,hsa-mir-150,hsa-mir-92a-2
Function	Cell Death	7	0.08974359	3.98685897	1.38e-3	0.7696	0.0244	hsa-let-7b,hsa-mir-92a-1,hsa-mir-130b,hsa-mir-29b-1,hsa-mir-222,hsa-mir-92a-2,hsa-mir-155
Function	Cell Differentiation	4	0.07142857	3.17321429	0.0348	1	0.2786	hsa-let-7b,hsa-mir-222,hsa-mir-155,hsa-mir-150
Function	DNA Damage Repair	1	0.05263158	2.33815789	0.3526	1	1	hsa-mir-155
Function	Epithelial-to-Mesenchymal Transition	7	0.08433735	3.74668675	2.00e-3	1	0.0312	hsa-let-7b,hsa-mir-486-2,hsa-mir-486-1,hsa-mir-30a,hsa-mir-29b-1,hsa-mir-100,hsa-mir-155
Function	Granulopoiesis	1	0.1	4.4425	0.2041	1	0.785	hsa-mir-155
Function	Hematopoiesis	11	0.19298246	8.57324561	1.56e-8	8.65e-6	3.46e-6	hsa-let-7b,hsa-mir-486-2,hsa-mir-92a-1,hsa-mir-486-1,hsa-mir-222,hsa-mir-100,hsa-mir-99a,hsa-mir-92a-2,hsa-mir-155,hsa-mir-150,hsa-mir-378c
Function	Immune Response	13	0.14130435	6.27744565	3.14e-8	1.74e-5	5.07e-6	hsa-mir-186,hsa-mir-92a-1,hsa-mir-486-1,hsa-mir-199b,hsa-mir-100,hsa-mir-155,hsa-mir-181c,hsa-mir-30a,hsa-mir-92a-2,hsa-mir-150,hsa-mir-500a,hsa-mir-486-2,hsa-mir-27a
Function	Immune System(Xiao's Cell2010)	4	0.19047619	8.46190476	1.00e-3	0.5563	0.0187	hsa-mir-181c,hsa-mir-155,hsa-mir-150,hsa-mir-106a
Function	Innate Immunity	5	0.11904762	5.28869048	2.06e-3	1	0.0306	hsa-let-7b,hsa-mir-181c,hsa-mir-30a,hsa-mir-29b-1,hsa-mir-155
Function	Latent Virus Replication	3	0.17647059	7.83970588	5.78e-3	1	0.0662	hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-155
Function	Natural Killer Cell Activation	1	0.2	8.885	0.1077	1	0.5302	hsa-mir-155
Function	Onco-MiRNAs	7	0.18918919	8.40472973	1.07e-5	5.93e-3	4.99e-4	hsa-mir-106a,hsa-mir-92a-1,hsa-mir-222,hsa-mir-92a-2,hsa-mir-27a,hsa-mir-155,hsa-mir-150
Function	Regulation of Akt Pathway	4	0.15384615	6.83461538	2.30e-3	1	0.0338	hsa-mir-92a-1,hsa-mir-222,hsa-mir-92a-2,hsa-mir-155
Function	Regulation of Stem Cell	5	0.06329114	2.81170886	0.0297	1	0.2428	hsa-mir-106a,hsa-mir-199b,hsa-mir-222,hsa-mir-27a,hsa-mir-155
Function	Response to Cytokine	1	0.2	8.885	0.1077	1	0.5302	hsa-mir-155
Function	Response to Hypoxia	1	0.08333333	3.70208333	0.2397	1	0.8658	hsa-mir-155
Function	T-Cell Activation	1	0.125	5.553125	0.1668	1	0.6926	hsa-mir-155
Function	T-Cell Differentiation	4	0.25	11.10625	3.30e-4	0.1835	7.82e-3	hsa-let-7b,hsa-mir-139,hsa-mir-155,hsa-mir-150
Function	T-helper 17 Cell Differentiation	3	0.15789474	7.01447368	7.98e-3	1	0.0829	hsa-mir-106a,hsa-mir-27a,hsa-mir-155
Function	Wound Healing	2	0.08695652	3.86304348	0.0929	1	0.4662	hsa-mir-29b-1,hsa-mir-155
Function	Adipocyte Differentiation	6	0.14634146	6.50121951	2.22e-4	0.1237	5.81e-3	hsa-let-7b,hsa-mir-92a-1,hsa-mir-222,hsa-mir-92a-2,hsa-mir-27a,hsa-mir-378c
Function	Angiogenesis	9	0.13846154	6.15115385	7.45e-6	4.14e-3	3.90e-4	hsa-let-7b,hsa-mir-486-2,hsa-mir-92a-1,hsa-mir-486-1,hsa-mir-30a,hsa-mir-222,hsa-mir-92a-2,hsa-mir-150,hsa-mir-378c
Function	Cardiac Remodeling	1	0.11111111	4.93611111	0.1857	1	0.7348	hsa-mir-222
Function	Cardiomyocyte Differentiation	1	0.33333333	14.80833333	0.0661	1	0.3966	hsa-mir-222
Function	Cardiomyocyte Migration	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-222
Function	Cardiomyocyte Proliferation	1	0.25	11.10625	0.0871	1	0.4621	hsa-mir-222
Function	Cell Proliferation	8	0.1	4.4425	2.82e-4	0.157	6.78e-3	hsa-let-7b,hsa-mir-379,hsa-mir-92a-1,hsa-mir-29b-1,hsa-mir-222,hsa-mir-92a-2,hsa-mir-378c,hsa-mir-150
Function	Chondrocyte Development	4	0.26666667	11.84666667	2.52e-4	0.1399	6.39e-3	hsa-mir-181c,hsa-mir-222,hsa-mir-92a-1,hsa-mir-92a-2
Function	Muscle Development	2	0.0952381	4.23095238	0.0793	1	0.4321	hsa-mir-30a,hsa-mir-222
Function	Myogensis	1	0.125	5.553125	0.1668	1	0.6926	hsa-mir-222
Function	Osteogenesis	5	0.08474576	3.76483051	9.17e-3	1	0.0941	hsa-mir-106a,hsa-mir-30a,hsa-mir-222,hsa-mir-27a,hsa-mir-378c
Function	Oxidative Stress	1	0.1	4.4425	0.2041	1	0.785	hsa-mir-222
Function	Smooth Muscle Cell Proliferation	3	0.16666667	7.40416667	6.82e-3	1	0.0753	hsa-mir-27a,hsa-mir-222,hsa-mir-100
Function	Keratinocyte Proliferation(26402295;26402295;25654102)	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-330
Function	Hormone-mediated Signaling Pathway 	4	0.06896552	3.0637931	0.0389	1	0.3008	hsa-mir-379,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-27a
Function	Lipid Metabolism	6	0.13333333	5.92333333	3.77e-4	0.2096	8.48e-3	hsa-mir-379,hsa-mir-92a-1,hsa-mir-335,hsa-mir-92a-2,hsa-mir-27a,hsa-mir-378c
Function	Vascular Smooth Muscle Cell Migration	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-379
Function	Embryonic Development 	1	0.05882353	2.61323529	0.3221	1	1	hsa-mir-130b
Function	Embryonic Stem Cell Differentiation	4	0.12903226	5.73225806	4.47e-3	1	0.054	hsa-mir-92a-1,hsa-mir-130b,hsa-mir-92a-2,hsa-mir-27a
Function	Nephrotoxicity	4	0.23529412	10.45294118	4.25e-4	0.2361	9.43e-3	hsa-mir-30a,hsa-mir-186,hsa-mir-29b-1,hsa-mir-130b
Function	Autophagy	1	0.125	5.553125	0.1668	1	0.6926	hsa-mir-30a
Function	Chondrogenic Differentiation	1	0.16666667	7.40416667	0.1279	1	0.5856	hsa-mir-30a
Function	Peritoneal Cavity Homeostasis(26495316)	3	0.13043478	5.79456522	0.0137	1	0.1275	hsa-mir-30a,hsa-mir-335,hsa-mir-100
Function	Skeletal Muscle Cell Differentiation	1	0.04545455	2.01931818	0.3958	1	1	hsa-mir-30a
