"miRNA"	"Coefficient"
"hsa_miR_20b_5p"	0.116404393719954
"hsa_miR_223_3p"	0.0338035534432313
"hsa_miR_193a_3p"	-0.101677241055793
"hsa_miR_24_3p"	-0.137519650644256
"hsa_miR_128_3p"	-0.0792198711992154
"hsa_miR_17_5p"	-0.0438047170289461
"hsa_miR_199b_5p"	-0.165170455803957
"hsa_miR_181c_5p"	-0.133965079967126
"hsa_miR_181a_5p"	-0.321363681412606
"hsa_miR_181b_5p"	0.360670837899443
"hsa_miR_21_5p"	-0.0106953497203846
"hsa_miR_222_5p"	0.105804029988842
"hsa_miR_331_5p"	0.156197651847992
"hsa_miR_373_3p"	0.00929842551851611
"hsa_miR_708_5p"	0.0873599617476104
"hsa_miR_34b_5p"	0.267044034038468
"hsa_miR_195_5p"	0.110889038635889
"hsa_miR_151a_5p"	-0.198771595179916
"hsa_miR_30b_5p"	0.226845771135788
"hsa_miR_22_3p"	0.00833100198691534
"hsa_let_7g_5p"	-0.102613980605936
"hsa_let_7i_5p"	0.0944866968593848
"hsa_miR_1290"	0.431532673658354
"hsa_miR_9_5p"	0.0271873775185449
