"miRNA"	"Coefficient"
"hsa_let_7b_5p"	0.0260463772054506
"hsa_let_7b_3p"	0.0202751767255001
"hsa_miR_100_5p"	-0.000293789769658731
"hsa_miR_106a_5p"	0.0203130390830341
"hsa_miR_130b_3p"	0.0525604647891156
"hsa_miR_139_5p"	-0.0124847908787698
"hsa_miR_150_5p"	-0.0538764337445887
"hsa_miR_151a_5p"	-0.141292629485974
"hsa_miR_155_5p"	0.0905139118800495
"hsa_miR_181c_3p"	-0.216546196668695
"hsa_miR_186_5p"	0.0269812561903927
"hsa_miR_199b_5p"	-0.056333844963266
"hsa_miR_2110"	-0.104509275914684
"hsa_miR_222_3p"	0.0751744417565304
"hsa_miR_27a_5p"	-0.206517650948393
"hsa_miR_29b_1_5p"	0.0181752696292094
"hsa_miR_3065_3p"	0.0451476900644911
"hsa_miR_30a_5p"	0.0475803628168864
"hsa_miR_330_5p"	0.06165382005232
"hsa_miR_335_3p"	-0.169837047661884
"hsa_miR_339_5p"	-0.00251978664875832
"hsa_miR_3615"	-0.082358800784365
"hsa_miR_378c"	-0.011867841690614
"hsa_miR_379_5p"	0.0601381406664701
"hsa_miR_450b_5p"	0.204169671965342
"hsa_miR_4662a_5p"	-0.186170315171515
"hsa_miR_4746_5p"	0.0662691707922844
"hsa_miR_486_5p"	-0.178208457740943
"hsa_miR_500a_5p"	0.0367084657409076
"hsa_miR_550a_5p"	-0.0526580388291942
"hsa_miR_584_5p"	0.223308805190494
"hsa_miR_598_3p"	0.0855225638729677
"hsa_miR_625_3p"	0.220357485697957
"hsa_miR_629_3p"	-0.0142222269316787
"hsa_miR_664a_5p"	-0.050255443250587
"hsa_miR_92a_3p"	0.0168584504550981
"hsa_miR_99a_5p"	-0.0055810722381152
