"miRNA"	"Coefficient"
"hsa_miR_596"	-0.648304084544714
"hsa_miR_6512_5p"	-0.928676874872734
"hsa_miR_3150b_5p"	-0.336029129208224
"hsa_miR_4698"	0.0770214057804294
"hsa_miR_542_3p"	0.0758715260284889
"hsa_miR_4713_3p"	-0.121918148162781
"hsa_miR_4751"	-0.329981105208957
"hsa_miR_4708_3p"	-3.08692716431356
"hsa_miR_4715_3p"	-0.0184285572718588
"hsa_miR_1287_3p"	-0.121304544146988
"hsa_miR_3944_5p"	-0.247961704642306
"hsa_miR_4782_5p"	-0.0470278940388818
"hsa_miR_3190_3p"	0.296129960851072
"hsa_miR_524_3p"	4.56746715250505
"hsa_miR_572"	-1.42011424064016
"hsa_miR_4635"	-0.415393270208669
"hsa_miR_144_5p"	-0.0396954159461347
"hsa_miR_210_3p"	0.0463048627998587
"hsa_miR_4640_5p"	2.56896145240188
"hsa_miR_3714"	-46.8575526012318
"hsa_miR_6847_3p"	-2.24208082614329
"hsa_miR_4790_3p"	1.15433723830609
"hsa_miR_6502_3p"	0.230931940287415
"hsa_miR_4766_3p"	-0.0740925513819769
"hsa_miR_320e"	-0.240816935003618
"hsa_miR_4659a_5p"	0.0975342844246925
"hsa_let_7i_3p"	-0.0763824717067486
"hsa_miR_1199_3p"	2.97076155450887
"hsa_miR_627_5p"	-0.0145187514503711
"hsa_miR_582_5p"	-0.0358082096764456
"hsa_miR_4772_3p"	-0.0731931261179361
"hsa_miR_3140_3p"	0.183777116315537
"hsa_miR_6854_3p"	0.00654397804295287
"hsa_miR_4722_3p"	0.119073136976498
"hsa_miR_3934_5p"	-0.0225605600862137
"hsa_miR_3117_5p"	-21.0005244493769
"hsa_miR_6769a_3p"	-0.278616613070282
